date,subject,price,condition_name,subarea_name,adview_url
2024-08-29 15:07:13,iphone 13 pro max 128gb,2400,Second-hand (Used),Masai,https://www.mudah.my/iphone-13-pro-max-128gb-108032752.htm
2024-08-29 15:05:47,iPhone 13 Pro Max 256GB,2899,Second-hand (Used),Ipoh,https://www.mudah.my/iphone-13-pro-max-256gb-108030796.htm
2024-08-29 15:05:14,Iphone 13 Pro,2450,Second-hand (Used),Pasir Puteh,https://www.mudah.my/iphone-13-pro-108033158.htm
2024-08-29 15:05:05,Iphone 13 Pro ( 256GB ),3000,Second-hand (Used),Kajang,https://www.mudah.my/iphone-13-pro-256gb-108030200.htm
2024-08-29 15:02:23,Used iPhone 13 Pro Max Sierra Blue,3000,Second-hand (Used),Putra Heights,https://www.mudah.my/used-iphone-13-pro-max-sierra-blue-106895020.htm
2024-08-29 15:01:05,IPhone 13 Pro Max 256gb,2750,Second-hand (Used),Sungai Petani,https://www.mudah.my/iphone-13-pro-max-256gb-108029758.htm
2024-08-29 15:00:44,Iphone 13 Pro (256Gb),2299,Second-hand (Used),Sandakan,https://www.mudah.my/iphone-13-pro-256gb-108029658.htm
2024-08-29 12:12:43,Iphone 13 pro max 256GB,2700,Second-hand (Used),Kuantan,https://www.mudah.my/iphone-13-pro-max-256gb-108084874.htm
2024-08-29 11:33:10,Iphone 13 pro max 128gb,2550,Second-hand (Used),Setia Alam,https://www.mudah.my/iphone-13-pro-max-128gb-108084178.htm
2024-08-29 11:15:59,iphone 13 pro 128 secondhand,2100,Second-hand (Used),Kota Bharu,https://www.mudah.my/iphone-13-pro-128-secondhand-108083807.htm
2024-08-29 10:57:18,Iphone 13 Pro 128 Tip Top,2400,Second-hand (Used),Langkawi,https://www.mudah.my/iphone-13-pro-128-tip-top-108083346.htm
2024-08-29 10:39:21,Iphone 13 pro 256gb ZP,2350,Second-hand (Used),Kota Damansara,https://www.mudah.my/iphone-13-pro-256gb-zp-108083022.htm
2024-08-29 09:26:28,iphone 13 pro max,2850,Second-hand (Used),Others,https://www.mudah.my/iphone-13-pro-max-108081892.htm
2024-08-29 09:23:06,iphone 13pro,2300,Second-hand (Used),Kota Bharu,https://www.mudah.my/iphone-13pro-108081845.htm
2024-08-29 08:48:25,iPhone 13 Pro 128gb,2250,Second-hand (Used),Bandar Saujana Putra,https://www.mudah.my/iphone-13-pro-128gb-108081516.htm
2024-08-29 08:42:40,iphone 13 pro 256gb Zp set,2300,Second-hand (Used),Kota Damansara,https://www.mudah.my/iphone-13-pro-256gb-zp-set-108081365.htm
2024-08-28 20:11:13,[USED] Apple iPhone 13 Pro | Borong Wholesale,2150,Second-hand (Used),Ara Damansara,https://www.mudah.my/used-apple-iphone-13-pro-borong-wholesale-108064930.htm
2024-08-28 20:10:48,[USED] Apple iPhone 13 Pro Max|Borong Wholesale 批发,2700,Second-hand (Used),Ara Damansara,https://www.mudah.my/used-apple-iphone-13-pro-max-borong-wholesale-106001206.htm
2024-08-28 19:04:33,iphone 13 pro 128gb,2150,Second-hand (Used),Alor Setar,https://www.mudah.my/iphone-13-pro-128gb-108077960.htm
2024-08-28 19:01:15,Iphone 13 pro 256gb,2250,Second-hand (Used),Pekan,https://www.mudah.my/iphone-13-pro-256gb-108077908.htm
2024-08-28 18:25:01,iPhone 13 Pro Max Blue,2580,Second-hand (Used),Lunas,https://www.mudah.my/iphone-13-pro-max-blue-108077257.htm
2024-08-28 18:12:09,iPhone 13 Pro Max 512GB 10/10,3250,Second-hand (Used),KLCC,https://www.mudah.my/iphone-13-pro-max-512gb-10-10-108077231.htm
2024-08-28 17:46:01,Iphone 13 pro 128gb,1950,Second-hand (Used),Sitiawan,https://www.mudah.my/iphone-13-pro-128gb-108076717.htm
2024-08-28 17:44:37,Iphone 13 PRO MAX 256GB ZP,2899,Second-hand (Used),Labis,https://www.mudah.my/iphone-13-pro-max-256gb-zp-108076684.htm
2024-08-28 15:45:29,Iphone 13PRO MAX 128GB ORI OFFER|TERIMA TRADE In|,2399,Second-hand (Used),Sri Petaling,https://www.mudah.my/iphone-13pro-max-128gb-ori-offer-terima-trade-in-107774576.htm
2024-08-28 15:31:06,Iphone 13 Pro Max 256gb Swap atau Cash,2630,Second-hand (Used),Kota Bharu,https://www.mudah.my/iphone-13-pro-max-256gb-swap-atau-cash-108074412.htm
2024-08-28 15:15:36,Iphone 13 Pro Max 1TB Sierra Blue,3500,Second-hand (Used),Bertam,https://www.mudah.my/iphone-13-pro-max-1tb-sierra-blue-108074124.htm
2024-08-28 15:06:48,iPhone 13 pro max,3600,Second-hand (Used),Bukit Mertajam,https://www.mudah.my/iphone-13-pro-max-108023573.htm
2024-08-28 15:06:30,iphone 13 pro max 256gb,2750,Second-hand (Used),Cheras,https://www.mudah.my/iphone-13-pro-max-256gb-108027407.htm
2024-08-28 15:05:54,Iphone 13 pro 128gb zpset used,2300,Second-hand (Used),Kota Kinabalu,https://www.mudah.my/iphone-13-pro-128gb-zpset-used-108024320.htm
2024-08-28 15:05:49,i phone 13 pro max 256,2900,Second-hand (Used),Johor Bahru,https://www.mudah.my/i-phone-13-pro-max-256-108022066.htm
2024-08-28 15:05:40,Iphone 13 Pro 128GB,2250,Second-hand (Used),Others,https://www.mudah.my/iphone-13-pro-128gb-108024792.htm
2024-08-28 15:05:01,IPHONE 13 PRO MAX 256Gb,2800,Second-hand (Used),Kuala Nerus,https://www.mudah.my/iphone-13-pro-max-256gb-108021300.htm
2024-08-28 15:02:59,iPhone 13 Pro,1800,Second-hand (Used),Segamat,https://www.mudah.my/iphone-13-pro-108020596.htm
2024-08-28 13:57:01,IPHONE 13 PRO 256GB FULLSET ORIGiNAL 👍🏻✅,2350,Second-hand (Used),Country Heights,https://www.mudah.my/iphone-13-pro-256gb-fullset-original-108072833.htm
2024-08-28 13:54:08,iphone 13 pro,2500,Second-hand (Used),Butterworth,https://www.mudah.my/iphone-13-pro-108072793.htm
2024-08-28 13:18:37,I Phone 13 Pro Max 1TB,3800,Second-hand (Used),Petaling Jaya,https://www.mudah.my/i-phone-13-pro-max-1tb-108072238.htm
2024-08-28 13:17:55,iphone 13 Pro Max 256GB,2950,Second-hand (Used),Batu Arang,https://www.mudah.my/iphone-13-pro-max-256gb-108072220.htm
2024-08-28 11:37:56,Iphone 13 pro,2200,Second-hand (Used),Bayan Lepas,https://www.mudah.my/iphone-13-pro-108070273.htm
2024-08-28 11:07:17,"iphone 13 pro max128gb jv
87% battery health
10/10",1650,Second-hand (Used),Batu Pahat,https://www.mudah.my/iphone-13-pro-max128gb-jv-87-battery-health-10-10-108069555.htm
2024-08-28 09:59:03,IPHONE 13 pro 256gb ZP,2250,Second-hand (Used),Seri Kembangan,https://www.mudah.my/iphone-13-pro-256gb-zp-108068526.htm
2024-08-28 09:56:43,(Swap) Iphone 13 Pro Max ,2250,Second-hand (Used),Puchong,https://www.mudah.my/swap-iphone-13-pro-max-108068497.htm
2024-08-28 09:53:59,iPhone 13 Pro Max 128gb Fullset box,2190,Second-hand (Used),Cheras,https://www.mudah.my/iphone-13-pro-max-128gb-fullset-box-108068430.htm
2024-08-28 09:46:33,Iphone 13 Pro Max 256gb,2599,Second-hand (Used),Teluk Intan,https://www.mudah.my/iphone-13-pro-max-256gb-108068269.htm
2024-08-28 09:42:49,Iphone 13 Pro Max 256gb,2600,Second-hand (Used),Batu Pahat,https://www.mudah.my/iphone-13-pro-max-256gb-108068207.htm
2024-08-28 08:31:10,Iphone 13 Pro 256gb,2580,Second-hand (Used),Kota Bharu,https://www.mudah.my/iphone-13-pro-256gb-108067476.htm
2024-08-27 20:03:59,iphone 13pro 256 fullset,1500,Second-hand (Used),Ampang,https://www.mudah.my/iphone-13pro-256-fullset-108065029.htm
2024-08-27 19:46:29,iphone 13 pro max,3100,Second-hand (Used),Subang Jaya,https://www.mudah.my/iphone-13-pro-max-108064849.htm
2024-08-27 18:22:07,Iphone 13 Pro Max 256gb Emereld Green,2850,Second-hand (Used),Gombak,https://www.mudah.my/iphone-13-pro-max-256gb-emereld-green-108063659.htm
2024-08-27 15:58:20,iPhone 13 pro 256gb zpset,2499,Second-hand (Used),Kunak,https://www.mudah.my/iphone-13-pro-256gb-zpset-108060797.htm
2024-08-27 15:06:42,Iphone 13 pro max ,2799,Second-hand (Used),Sungai Petani,https://www.mudah.my/iphone-13-pro-max-108011981.htm
2024-08-27 15:06:36,Iphone 13 pro,2000,Second-hand (Used),Kota Kinabalu,https://www.mudah.my/iphone-13-pro-108014514.htm
2024-08-27 15:06:35,iphone 13 pro max 128gb ZP set,2499,Second-hand (Used),Kota Kinabalu,https://www.mudah.my/iphone-13-pro-max-128gb-zp-set-108016034.htm
2024-08-27 15:06:29,iPhone 13 Pro Max 256GB,2799,Second-hand (Used),Kajang,https://www.mudah.my/iphone-13-pro-max-256gb-108010509.htm
2024-08-27 15:06:11,Iphone 13 Pro,2200,Second-hand (Used),Butterworth,https://www.mudah.my/iphone-13-pro-108009969.htm
2024-08-27 15:05:22,iphone 13 pro max,2600,Second-hand (Used),Bera,https://www.mudah.my/iphone-13-pro-max-108011980.htm
